Partner Country,Reporting Country,Segment,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Comoros,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,South Africa,Cut Size,650,650,652,648,649,660,635,653,692,558,708,811,156,"1,158","1,119",363,248,"1,854","5,515",627,459,898,758,399,312,325,211.2,283,273,256,270,266,264,267,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
Congo,South Africa,Folio,66,66,66,66,66,66,66,67,64,68,68,56,79,70,20,0,0,"53,660",149,154,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,South Africa,Reels,16,16,16,16,16,16,16,16,15,16,16,14,20,14,8,0,2,0,263,192,25,12,200,200,0,25,0,8,11,6,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Congo,Morocco,Folio,3,3,3,3,3,3,3,2,3,2,2,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Kenya,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,7,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cote d Ivoire,South Africa,Cut Size,705,704,708,703,699,722,689,687,789,592,679,"1,096",0,941,"2,347","3,966","2,724","4,685","4,609","5,331","3,247","2,083","1,535",658,"1,258",19,96,458,191,248,299,246,264,270,260,265,265,263,264,264,264,264,264,264,264,264,264,264,264,264,264
Cote d Ivoire,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d Ivoire,South Africa,Reels,704,704,700,707,705,689,725,700,642,833,625,469,"1,406",0,0,0,408,641,229,583,426,50,"1,050",0,612,74,0,229,101,110,146,119,125,130,125,127,127,126,127,127,127,127,127,127,127,127,127,127,127,127,127
Cote d Ivoire,Morocco,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d Ivoire,Morocco,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,66,0,0,22,7,10,13,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Cote d Ivoire,Ghana,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,"2,505","4,338","2,078","1,195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,Morocco,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,78,154,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,South Africa,Cut Size,107,107,107,107,106,109,104,105,119,89,105,163,0,152,338,423,299,925,"2,096","2,035",458,558,220,36,30,68,0,33,34,22,29,28,27,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
Ethiopia,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Kenya,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Egypt,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Egypt,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,South Africa,Cut Size,44,44,44,44,43,45,43,42,50,38,37,76,0,37,191,285,359,649,"1,644",593,479,"1,068",817,"1,260",979,440,1344,921,902,"1,056",959,972,996,976,981,984,980,982,982,982,982,982,982,982,982,982,982,982,982,982,982
Gabon,Morocco,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,Morocco,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,South Africa,Cut Size,3,3,3,3,3,3,3,3,4,3,2,6,0,0,19,19,59,159,313,318,138,40,40,40,20,20,0,13,11,8,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Gambia,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,Senegal,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,7.2,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Gambia,Senegal,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,Senegal,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,0,0,10,0,0,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Gambia,Kenya,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,South Africa,Cut Size,789,787,792,788,781,806,775,763,880,683,725,"1,233",93,849,"2,757","2,399","2,842","1,469","4,905","2,102","1,603",965,"2,352","1,773",391,"1,243",120,585,649,451,562,554,522,546,541,536,541,539,539,540,539,539,540,539,539,540,539,539,540,539,540
Ghana,South Africa,Folio,156,156,155,157,156,153,161,155,143,185,139,104,312,0,0,0,30,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,South Africa,Reels,547,548,548,545,550,549,535,565,548,493,655,494,331,"1,139",13,80,500,651,133,994,925,853,188,28,"1,637",459,2.4,699,387,363,483,411,419,438,423,426,429,426,427,427,427,427,427,427,427,427,427,427,427,427,427
Ghana,Cote d'Ivoire,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,274,0,145,140,95,126,120,114,120,118,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
Guinea,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,24,190,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,Senegal,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,Senegal,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,Senegal,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,8,0,33,0,0,11,4,5,7,5,5,6,5,6,6,5,6,6,5,6,6,5,6,5,5,6,5,5,6
Guinea,Morocco,Reels,3,3,3,3,3,3,3,3,4,3,2,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,South Africa,Cut Size,552,550,554,552,545,566,546,523,629,486,453,948,55,357,"2,432","2,915","5,117","6,761","15,662","10,768","8,320","7,322","9,323","2,671","6,177",649,6720,"4,515","3,961","5,066","4,514","4,514","4,698","4,575","4,596","4,623","4,598","4,605","4,609","4,604","4,606","4,606","4,605","4,606","4,606","4,606","4,606","4,606","4,606","4,606","4,606"
Kenya,South Africa,Folio,147,148,147,147,148,147,147,150,142,149,159,119,170,187,0,40,47,0,57,529,26,0,0,0,74,0,0,25,8,11,15,11,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Kenya,South Africa,Reels,155,155,155,156,156,153,160,154,144,180,138,115,288,11,45,57,"1,312","4,095","2,195",223,"3,392",413,344,237,738,598,950.4,762,770,828,787,795,803,795,798,798,797,798,798,797,798,798,798,798,798,798,798,798,798,798,798
Kenya,Egypt,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,170,112,76,0,63,46,36,48,44,43,45,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Kenya,Egypt,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1
Kenya,Egypt,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,104,525,"2,157","2,711","3,316","2,461","1,981",314.4,"1,585","1,294","1,064","1,315","1,224","1,201","1,247","1,224","1,224","1,231","1,226","1,227","1,228","1,227","1,228","1,228","1,228","1,228","1,228","1,228","1,228","1,228","1,228","1,228"
Lesotho,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,136,117,153.6,136,135,142,137,138,139,138,138,139,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
Lesotho,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,149,26,12,62,33,36,44,38,39,40,39,40,40,39,40,40,39,40,40,39,40,40,39,40,39,39,40
Lesotho,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,178,32,14.4,75,40,43,53,45,47,48,47,48,48,47,48,48,48,48,48,48,48,48,48,48,48,48,48
Liberia,South Africa,Cut Size,3,3,3,3,3,3,3,3,4,3,2,6,0,0,19,19,39,0,271,259,160,80,40,20,20,0,48,23,24,31,26,27,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Liberia,Senegal,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,South Africa,Cut Size,55,55,56,55,54,57,55,51,66,49,37,111,0,0,332,194,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Egypt,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,134,204,70,288,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Egypt,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Egypt,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,427,"1,934",279,909,"1,477","1,104",233,120,486,280,295,353,309,319,327,319,322,323,321,322,322,322,322,322,322,322,322,322,322,322,322,322
Madagascar,South Africa,Cut Size,239,238,240,239,237,245,234,231,269,202,222,384,0,280,873,"2,495","1,758","2,296","4,349","2,369","1,759","1,567","1,418","1,009",704,801,1728,"1,078","1,202","1,336","1,205","1,248","1,263","1,239","1,250","1,251","1,246","1,249","1,249","1,248","1,248","1,248","1,248","1,248","1,248","1,248","1,248","1,248","1,248","1,248","1,248"
Madagascar,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,168,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,South Africa,Reels,22,22,22,21,21,22,21,21,24,18,23,30,0,39,51,46,16,96,0,0,21,22,0,13,40,0,0,13,4,6,8,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Mali,South Africa,Cut Size,10,10,10,10,10,10,10,9,12,9,6,19,0,0,58,307,98,177,38,913,655,439,0,40,0,40,0,13,18,10,14,14,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Mali,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,903,0,0,0,0,0,0,200,145,0,115,87,67,90,81,79,83,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
Mali,Senegal,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Senegal,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Senegal,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,59,0,41,0,14,18,11,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Mali,Morocco,Folio,9,9,9,9,9,9,9,9,9,10,7,11,10,0,24,127,87,95,79,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Morocco,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,87,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,South Africa,Cut Size,19,19,19,19,19,20,19,18,23,17,13,38,0,0,115,0,39,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Senegal,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mauritania,Senegal,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,6,7,4,6,6,5,6,6,5,6,5,5,6,5,5,6,5,5,6,5,5,6,5,6
Mauritania,Senegal,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,55,0,0,51,0,13,0,4,6,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Mauritania,Morocco,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,56,0,0,0,0,0,0,41,60,120,74,85,93,84,87,88,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Mauritania,Morocco,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14.4,6,8,10,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Mauritania,Egypt,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,21,27,16,21,21,19,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Mauritius,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,569,693,"1,393","1,907","1,078",498,439,416,220,133,384,246,254,295,265,271,277,271,273,274,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
Mauritius,South Africa,Folio,9,9,9,9,9,10,9,10,10,8,12,9,3,24,1,3,3,3,2,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,South Africa,Reels,14,14,14,14,14,14,14,15,15,12,18,13,6,34,0,22,0,28,0,214,100,183,668,388,634,466,703.2,601,590,631,608,610,616,611,612,613,612,613,613,613,613,613,613,613,613,613,613,613,613,613,613
Mayotte,South Africa,Cut Size,3,3,3,3,3,3,3,3,4,3,2,6,0,0,19,76,136,280,331,459,299,80,20,20,100,20,48,56,41,48,49,46,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
Morocco,South Africa,Cut Size,384,384,386,383,382,392,376,379,422,326,388,554,36,573,"1,052",39,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Egypt,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,41,0,26,0,41,0,0,14,5,6,8,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Morocco,Egypt,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Egypt,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,014",544,580,388,820,884,"1,121",8,31.2,387,142,187,238,189,205,211,201,206,206,204,205,205,205,205,205,205,205,205,205,205,205,205,205
Morocco,Algeria,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,South Africa,Cut Size,659,658,661,658,654,670,652,640,717,598,606,946,242,630,"1,968","2,483","3,377","3,330","4,699","7,164","5,099","4,983","6,300","5,948","5,908","4,796",8148,"6,284","6,409","6,947","6,547","6,634","6,709","6,630","6,658","6,666","6,651","6,658","6,659","6,656","6,658","6,657","6,657","6,657","6,657","6,657","6,657","6,657","6,657","6,657","6,657"
Mozambique,South Africa,Folio,445,445,445,445,445,444,445,446,442,446,450,432,455,464,377,46,281,200,"1,116",544,189,72,155,95,227,156,184.8,189,177,184,183,181,183,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
Mozambique,South Africa,Reels,276,276,275,277,276,271,283,274,257,319,245,206,507,24,87,23,46,143,65,25,55,225,29,8,28,5,9.6,14,10,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Namibia,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,117,204,242,259.2,235,245,247,242,245,245,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244
Namibia,South Africa,Folio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,90,36,64,63,55,61,60,58,60,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
Namibia,South Africa,Reels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,97,14.4,61,58,44,55,52,50,52,52,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Niger,South Africa,Cut Size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,120,40,0,0,120,0,0,40,13,18,24,18,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
